movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
14 Hours	72%	100%	Richard Basehart,Paul Douglas,Barbara Bel Geddes,Jeffrey Hunter,Debra Paget,Agnes Moorehead,Robert Keith,Howard Da Silva,Martin Gabel,Grace Kelly,Frank Faylen,Jeff Corey,James Millican,Donald Randolph,Don Randolph,Willard Waterman,Ken Harvey,George MacQuarrie,Ann Morrison,Forbes Murray,George Putnam,Ossie Davis,David Burns,Henry Slate,Harvey Lembeck,Lou Polan,Brad Dexter,Shepard Menken,Joyce Van Patten,George Baxter,Bernard Burke,Michael Fitzmaurice,Russell Hicks,Frank Nelson,Jane Darwell,Brian Keith,Silvio Minciotti	NA	NA	Mar 6, 1951 wide	Classics,Drama,Mystery & Suspense	20th Century Fox Film Corporation	Henry Hathaway	92 minutes	NA	NR	John Paxton
17 Girls	39%	67%	Louise Grinberg,Juliette Darche,Roxane Duran,Esther Garrel,Solène Rigot,Yara Pilartz,Noémie Lvovsky,Florence Thomassin,Carlo Brandt,Frederic Noaille,Frederic Noaille,Arthur Verret	NA	NA	Sep 21, 2012 limited	Drama	Strand Releasing	Delphine Coulin, Muriel Coulin	90 minutes	$15,002	NR	Delphine Coulin, Muriel Coulin
1 Night	62%	20%	Anna Camp,Justin Chatwin,Isabelle Fuhrman,Kyle Allen,Kelli Berglund,Roshon Fegan,Evan Hofer,Alexander Roberts	NA	NA	Feb 10, 2017 limited	Drama,Romance	Sorrento Productions	Minhal Baig	80 minutes	NA	NR	Minhal Baig
2012	46%	40%	John Cusack,Amanda Peet,Chiwetel Ejiofor,Thandie Newton,Oliver Platt,Tom McCarthy,Woody Harrelson,Danny Glover,Liam James,Morgan Lily,Zlatko Burik,Zlatko Buric,Beatrice Rosen,Alexandre Haussmann,Philippe Haussmann,Johann Urb,John Billingsley,Chin Han Ng,Osric Chau,Chang Tseng,Lisa Lu,Blu Mankuma,George Segal,Stephen McHattie,Patrick Bauchau,Jimi Mistry,Ryan McDonald,Merrilyn Gann,Henry O,Patrick Gilmore,Dean Marshall,Ronald Selmour,Viv Leacock,Chris Boyd,Donna Yamamoto,Doron Bell Jr.,David Orth,Lyndall Grant,Jason Diablo,Ty Olsson,Zinaid Memisevic,Vincent Cheng,Igor Morozov,B.J. Harrison,Dominic Zamprogna,Karin Konoval,Mary Gillis,Rick Tae,Parm Soor,Gerard Plunkett,Paul Tryl,Andrei Kovski,Val Cole,Eve Harlow,Sean Tyson,Leonard Tenisci,Michael Buffer,Daren A. Herbert,Craig Stanghetta,Mateen Devji,Qayam Devji,Jody Thompson,Tanya Champoux,Frank C. Turner,Kinua McWatt,Laara Sadiq,Gillian Barber,Candus Churchill,Beverley Elliott,Agam Darshi,Raj Lal,Pesi Daruwalla,Jacob Blair,Jay Williams,Denny Miller,Anna Mae Routledge,John Stewart,Ryan Cook,Brandon Haas,Eddie Hassell,Betty Phillips,Georgina Hegedos,Luis Javier,Dean Redman,Gordon Lai,Mark Docherty,Mark Oliver,Andrew Moxham,Alexandra Castillo,Farouk A. Afify,Shaun Wilson,S. Leo Chiang,Elizabeth Richard,Kyle Riefsnyder,John Mee,George Trochta,Geoff Gustafson,Alex Zahara,Jase-Anthony Griffith,Jill Morrison,Thomas Parkinson,Leona Naidoo,Quentin Guyon,Nicole Rudell,Chad Riley,Simon Leung,Kevin Haaland,Leigh Burrows	NA	NA	Nov 13, 2009 wide	Action & Adventure,Drama,Mystery & Suspense,Science Fiction & Fantasy	Sony Pictures/Columbia	Roland Emmerich	158 minutes	$166,112,167	PG-13 (for intense disaster sequences and some language)	Roland Emmerich, Harald Kloser
20 Million Miles to Earth	55%	80%	William Hopper,Joan Taylor,Frank Puglia,John Zaremba,Thomas Browne Henry,Tom Browne Henry,Tito Vuolo,Jan Arvan,Arthur Space,Bart Bradley,George Pelling,George Khoury,Don Orlando,Rollin Moriyama,Ray Harryhausen,Dale Van Sickel	NA	NA	Jun 1, 1957 wide	Classics,Horror,Musical & Performing Arts,Science Fiction & Fantasy	Sony Pictures Home Entertainment	Nathan Juran	84 minutes	NA	PG	Christopher Knopf
21 Years: Richard Linklater	55%	40%	Billy Bob Thornton,Ethan Hawke,Julie Delpy,Keanu Reeves,Matthew McConaughey,Jack Black,Louis Black,Zac Efron,Parker Posey,Richard Linklater,Anthony Rapp	NA	NA	Nov 7, 2014 limited	Documentary,Special Interest	Gravitas Ventures	Michael Dunaway, Tara Wood	79 minutes	NA	NR	Michael Dunaway, Tara Wood
My Soul to Take	26%	9%	Max Thieriot,John Magaro,Denzel Whitaker,Zena Grey,Nick Lashaway,Paulina Olszynski,Jeremy Chu,Emily Meade,Raul Esparza,Jessica Hecht,Frank Grillo,Danai Gurira,Harris Yulin,Shareeka Epps,Elena Hurst,Raul Esparza,Dennis Boutsikaris,Felix Solis,Trevor St. John,Shannon Walsh,Alexandra Wilson,Eric Zuckerman,Alberto Vasquez,Lou Sumrall,Lynnanne Zager,Michael Bell,Lyannanne Zager,Courtney Stow,Kaitlyn Stow,Richard Rutkowski,Robert Clotworthy,Terri Douglas,Hannah Hodson,Nicole Brittany Patrick,Amber Efé,Christopher Place	NA	NA	Oct 8, 2010 wide	Horror,Mystery & Suspense	Universal Pictures	Petra Korner, Wes Craven	108 minutes	$14,637,490	R (for strong bloody violence, and pervasive language including sexual references.)	Wes Craven
28 Weeks Later...	66%	71%	Robert Carlyle,Rose Byrne,Jeremy Renner,Harold Perrineau,Catherine McCormack,Idris Elba,Mackintosh Muggleton,Imogen Poots,Amanda Walker,Shahid Ahmed,Garfield Morgan,Emily Beecham,Beans El-Balawi,Amanda Lawrence,Simon Delaney,Drew Rhys-Williams,Raymond Waring,Kish Sharma,Stewart Alexander,Philip Bulcock,Tom Bodell,Andrew Byron,Sarah Finigan,Jane Thorne,Chris Ryman,Meghan Popiel,Tristan Tait,William Meredith,Maeve Rya,Thomas Garvey,Ed Coleman,Karen Meagher,Matthew Reeves,Roderic Culver	NA	NA	May 11, 2007 wide	Horror,Mystery & Suspense,Science Fiction & Fantasy	Fox Atomic	Juan Carlos Fresnadillo	100 minutes	$28,586,503	R (for strong violence and gore, language and some sexuality/nudity)	Rowan Joffe, Enrique Lopez Lavigne, Juan Carlos Fresnadillo, Jesús Olmo
2 Days in New York	42%	66%	Chris Rock,Julie Delpy,Albert Delpy,Alexia Landeau,Alexandre Nahon,Dylan Baker,Kate Burton,Malinda Williams,Talen Riley,Alex Manette,Emily Wagner,Daniel Brühl	NA	NA	Aug 10, 2012 limited	Comedy,Drama	Magnolia Pictures	Julie Delpy	91 minutes	$500,000	R (for language, sexual content, some drug use and brief nudity)	Julie Delpy, Alex Nahon
2 Guns	66%	64%	Denzel Washington,Mark Wahlberg,Paula Patton,Bill Paxton,Fred Ward,James Marsden,Edward James Olmos,Robert John Burke,Greg Sproles,Patrick Fischler,Derek Solorsano,Edgar Arreola,Kyle Clements,Christopher Matthew Cook,Timothy Bell,Tait Fletcher,Jesus Payan, Jr.,Azure Parsons,John McConnell,Jack Landry,Ritchie Montgomery,Ambyr Childers,Robert Larrivere,Lucy Faust,George Wilson,Yohance Myles,Evie Louise Thompson,Samuel Baca-Garcia,Michael Beasley,Christopher Dempsey,Bill Stinchcomb,Mark Adam,David Kency,Gilbert Rosales,Peter Gabb,Jason Kirkpatrick,Tony Sanford,Kevin "Lucky" Johnson,Lindsey Smith,Lindsey G. Smith,Lindsey Gort,Hillel M. Sharman,Aaron Zell,Henry Penzi	NA	NA	Aug 2, 2013 wide	Action & Adventure,Drama,Mystery & Suspense	Universal Pictures	Baltasar Kormákur	109 minutes	$73,500,000	R (for violence throughout, language and brief nudity)	Blake Masters
